a	[there] is/are (direct object & nominal complement)
ada	to, at, into (directed towards a place / state)
an	and, also
da	that, there
daki	that who/which/where (complementizer)
dale	those
de	from, of, about, by
deke	that which, 
den	du + en = was in
di	this, here
diale	these
du	(past tense marker)
-du, -edu	(make abstract noun from adjective or verb, ie -ness, -ment)
e	[there] is/are, -ly (adjectival / adverbial complement)
en	in, inside, on, near (at a place / state)
gen	go + en = will be in
go	(future tense marker)
go	go, towards
i-, in-	(marker for verbs in infinitive / progressive / gerund form)
ida	was (object / nominal complement)
ide	was (adj / adv complement)
idem	identical, same (thing), alike
ige	will be (adj / adv complement)
igo	will be (object / nominal complement)
ja	yes, definitely, certainly
ka	what (interrogative)
kafase	how (interrogative)
kato	who (interrogative)
kakosa	why (interrogative)
kaloke	where (interrogative)
kano	which (interrogative)
kanun	when (interrogative)
ke	that (complementizer)
ki	which, who (complementizer)
kide	which is, which of, whose
kon	with
-la, -ela	(indicates a type of place or situation, ie vendela = shop)
-le, -ale	(pluraliser, creates a group noun - optional)
-ma, -mia	(intensify a verb, ie vola = fly, volama = zoom)
me	(marker for potential/hypothetical; use with -ma suffix of for jussive/imperative)
mi	I, me, (first person)
miale	we, us
mialo	our
mio	my
-ni, -i	(objects of a type or kind, often diminutive, template for color naming)
no	no, not
o	(associative relationship)
pero	but, except
po	for, as
-re, -ure	(mark a verb as passive voice)
-ro, -ero	(marker of a person with a role or profession, eg sanoro = doctor)
sama	as, than, like
se	if, whether
se … posi	if … then
si	he, she, it (third person)
siale	they
sialo	their
sikosa	it
sikoso	its
sio	his, hers
tu	you, (second person)
tuale	you (plural)
tualo	your (plural)
tuo	your
u	or, either
u-, us-	(marker for verbs as permissive, ie can/able to; use with -ma for hortative)
usi	can (contextual, only with noun or implied main verb)
uside	could be, might be (contextual, only with noun or nominal complement)
usidema	had to be, should be (contextual, only with noun or nominal complement)
usima	ought (contextual, only with implied main verb)
me usima	must (contextual, only with implied main verb)
vida	over there
ado	bring, apply
ale	all, everything
aliki	some, few, an indefinite amount, somewhat
alikito	someone
alito	everyone
animale	animal
aroma	smell, taste
ave	have, possession
bata	beat, fight, battle
baton	stick, rod
bodi	body
boka	mouth
bon	good, aha!
dafem	she (only where gender relevant)
daviro	he (only where gender relevant)
debe	debt, owe, burden, obligation
demo	demonstration, indicate, show
dikosa	reason, cause, explanation
dona	give, gift, offer
duro	hard, difficult, problem
eleki	electric, electricity
fami	family, relative
fase	make, do, create
fem	woman, female, lady
fini	finish, final, end, complete
fugo	fire, hot, burn
imaje	image, picture
inita	start, initial, beginning
ito	person, human
itole	people, humans
jalan	path, way, road, street
jelu	cool, cold
junta	join, group, together
jura	law, rule, instruction
kaja	box
